PLAYER NAME,TEAM,POS,Age,G,GS,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,RecTD,FL,TD,PPR,VBD
Laquon Treadwell,MIN,WR,24,13,1,0.0,0.0,0.0,0.0,0.0,,0.0,1.23,0.69,14.2,0.08,0.0,0.08,2.57,
Olamide Zaccheaus,ATL,WR,22,10,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.3,11.5,0.1,0.0,0.2,2.65,
JJ Arcega-Whiteside,PHI,WR,23,16,5,0.0,0.0,0.0,0.0,0.0,,0.0,1.38,0.63,10.6,0.06,0.0,0.06,2.06,
Reggie Bonnafon,CAR,RB,23,16,0,0.0,0.0,0.0,1.0,7.25,7.25,0.06,0.56,0.38,3.56,0.0,0.0,0.06,1.83,
Rhett Ellison,NYG,TE,31,10,7,0.0,0.0,0.0,0.0,0.0,,0.0,2.8,1.8,16.7,0.1,0.0,0.1,4.07,
Bennie Fowler,NYG,WR,28,8,2,0.0,0.0,0.0,0.13,2.5,20.0,0.0,4.5,2.88,24.1,0.0,0.0,0.0,5.79,
Byron Pringle,KAN,WR,26,16,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.75,10.6,0.06,0.0,0.06,2.19,
Darwin Thompson,KAN,RB,22,12,0,0.0,0.0,0.0,3.08,10.7,3.46,0.08,0.83,0.75,3.58,0.0,0.0,0.08,2.68,
Logan Thomas,DET,TE,28,16,3,0.0,0.0,0.0,0.0,0.0,,0.0,1.75,1.0,10.8,0.06,0.0,0.06,2.46,
Duke Williams,BUF,WR,27,4,3,0.0,0.0,0.0,0.0,0.0,,0.0,4.75,3.0,41.5,0.25,0.0,0.25,8.65,
Justin Jackson,LAC,RB,23,7,0,0.0,0.0,0.0,4.14,28.6,6.9,0.0,1.57,1.29,3.14,0.0,0.0,0.0,4.46,
Zay Jones,2TM,WR,24,15,9,0.0,0.0,0.0,0.07,0.2,3.0,0.0,3.0,1.8,14.4,0.0,0.0,0.0,3.26,
Marcedes Lewis,GNB,TE,35,16,11,0.0,0.0,0.0,0.0,0.0,,0.0,1.19,0.94,9.75,0.06,0.0,0.06,2.29,
Tim Patrick,DEN,WR,26,8,2,0.0,0.0,0.0,0.0,0.0,,0.0,3.88,2.0,27.3,0.0,0.0,0.0,4.72,
Ross Dwelley,SFO,TE,24,16,6,0.0,0.0,0.0,0.0,0.0,,0.0,1.38,0.94,5.69,0.13,0.0,0.13,2.26,
Jaeden Graham,ATL,TE,24,16,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.63,0.56,9.31,0.06,0.0,0.06,1.87,
C.J. Ham,MIN,RB,26,16,7,0.0,0.0,0.0,0.44,1.06,2.43,0.0,1.63,1.06,9.31,0.06,0.06,0.06,2.35,
Brian Hoyer,IND,QB,34,4,1,93.0,1.0,1.0,2.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,5.28,
Kalif Raymond,TEN,WR,25,8,1,0.0,0.0,0.0,0.13,-0.63,-5.0,0.0,1.5,1.13,21.3,0.13,0.13,0.13,3.69,
Parris Campbell,IND,WR,22,7,3,0.0,0.0,0.0,0.57,4.86,8.5,0.0,3.43,2.57,18.1,0.14,0.14,0.14,5.44,
Derek Carrier,OAK,TE,29,16,4,0.0,0.0,0.0,0.06,1.69,27.0,0.0,1.19,0.81,6.75,0.06,0.0,0.06,2.03,
Trevor Davis,3TM,WR,26,14,4,0.0,0.0,0.0,0.29,5.21,18.25,0.07,0.79,0.57,7.93,0.0,0.14,0.07,2.03,
Justin Hardy,ATL,WR,28,16,1,0.0,0.0,0.0,0.0,0.0,,0.0,1.63,1.19,12.2,0.0,0.0,0.0,2.41,
Richie James,SFO,WR,24,16,1,0.0,0.0,0.0,0.13,-0.06,-0.5,0.0,0.63,0.38,10.3,0.06,0.06,0.06,1.65,
Ian Thomas,CAR,TE,23,16,3,0.0,0.0,0.0,0.0,0.0,,0.0,1.88,1.0,8.5,0.06,0.0,0.06,2.23,
Matt LaCosse,NWE,TE,27,11,8,0.0,0.0,0.0,0.0,0.0,,0.0,1.73,1.18,11.9,0.09,0.0,0.09,2.92,
Ty Montgomery,NYJ,RB,26,16,2,0.0,0.0,0.0,2.0,6.44,3.22,0.0,1.06,0.81,5.63,0.0,0.0,0.0,2.02,
C.J. Prosise,SEA,RB,25,9,0,0.0,0.0,0.0,2.56,8.0,3.13,0.11,1.33,1.11,8.44,0.0,0.11,0.11,3.2,
Vernon Davis,WAS,TE,35,4,1,0.0,0.0,0.0,0.0,0.0,,0.0,4.75,2.5,30.8,0.25,0.0,0.25,7.08,
Darrell Henderson,LAR,RB,22,13,0,0.0,0.0,0.0,3.0,11.3,3.77,0.0,0.46,0.31,2.85,0.0,0.0,0.0,1.72,
Dontrelle Inman,2TM,WR,30,7,1,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.71,25.9,0.0,0.0,0.0,4.3,
Josh Rosen,MIA,QB,22,6,3,94.5,0.17,0.83,0.5,2.17,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
Jeff Heuerman,DEN,TE,27,14,11,0.0,0.0,0.0,0.0,0.0,,0.0,1.43,1.0,8.14,0.07,0.0,0.07,2.24,
Travis Homer,SEA,RB,21,16,1,0.0,0.0,0.0,1.13,7.13,6.33,0.0,0.81,0.69,3.5,0.0,0.0,0.0,1.75,
Ryan Izzo,NWE,TE,24,6,4,0.0,0.0,0.0,0.0,0.0,,0.0,1.5,1.0,19.0,0.17,0.0,0.17,3.9,
A.J. McCarron,HOU,QB,29,2,1,112.5,0.0,0.5,2.5,19.5,7.8,0.5,0.0,0.0,0.0,0.0,0.0,0.5,8.45,
Cam Newton,CAR,QB,30,2,2,286.0,0.0,0.5,2.5,-1.0,-0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.35,
Nick O'Leary,2TM,TE,27,12,5,0.0,0.0,0.0,0.0,0.0,,0.0,1.5,1.08,9.08,0.08,0.0,0.08,2.49,
Devin Smith,DAL,WR,27,4,2,0.0,0.0,0.0,0.0,0.0,,0.0,2.25,1.25,28.3,0.25,0.0,0.25,5.58,
Nick Vannett,2TM,TE,26,16,7,0.0,0.0,0.0,0.0,0.0,,0.0,1.38,1.06,10.4,0.0,0.0,0.0,2.1,
Ben Watson,NWE,TE,39,10,8,0.0,0.0,0.0,0.0,0.0,,0.0,2.4,1.7,17.3,0.0,0.0,0.0,3.43,
T.J. Yeldon,BUF,RB,26,6,0,0.0,0.0,0.0,2.83,10.5,3.71,0.0,2.5,2.17,20.7,0.0,0.17,0.0,4.95,
Andrew Beck,DEN,TE,23,16,6,0.38,0.0,0.0,0.06,0.19,3.0,0.0,0.75,0.56,5.63,0.06,0.0,0.06,1.53,
Robert Griffin III,BAL,QB,29,7,1,32.1,0.14,0.29,2.86,10.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,
